,Rank,School,Rating,Win %,Adj Win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Change,Logo Match
62,63,Pittsburgh (7-5),86.41457483363317,58.333333333333336,47.333333333333336,54.0,54.0,77.0,0.45454545454545453,4.182608047072835,NR,1,Pittsburgh
63,64,Arkansas (6-6),86.14023166964968,50.0,45.45454545454545,41.0,65.0,75.0,-0.5454545454545454,3.69086508520953,NR,1,Arkansas
64,65,Washington (6-6),85.4971773638239,50.0,46.278787878787874,21.0,108.0,56.0,-3.272727272727273,3.6588253427673756,NR,1,Washington
65,66,Buffalo (8-4),84.75883258311906,66.66666666666666,67.75757575757576,122.0,49.0,87.0,-0.36363636363636365,-6.578787090289266,NR,1,Buffalo
66,67,South Alabama (7-6),84.73506930558052,53.84615384615385,54.91111111111111,97.0,40.0,70.0,3.5833333333333335,-1.5653206096431775,NR,8,South_Alabama
67,68,UCLA (5-7),84.62501200346965,41.66666666666667,45.25555555555555,9.0,123.0,63.0,-6.833333333333333,1.9572746096542097,NR,2,UCLA
68,69,Liberty (8-3),84.37909431639767,72.72727272727273,66.60000000000001,134.0,45.0,43.0,6.5,-6.595822113129589,NR,0,Liberty
69,70,Auburn (5-7),84.35212123226275,41.66666666666667,40.69090909090909,42.0,92.0,39.0,0.6363636363636364,4.3619796120131,NR,4,Auburn
70,71,West Virginia (6-6),84.33882197782692,50.0,47.92727272727273,22.0,65.0,109.0,-6.0,1.363559173872467,NR,-3,West_Virginia
71,72,California (6-6),84.24579136690372,50.0,45.45454545454545,67.0,72.0,39.0,2.6363636363636362,2.60154119050059,NR,-1,California
72,73,NC State (6-6),83.6034294428109,50.0,48.75151515151515,63.0,52.0,101.0,-3.0,0.052296925417075535,NR,-1,NC_State
73,74,North Carolina (6-6),84.10180234874856,50.0,46.278787878787874,66.0,34.0,89.0,1.3636363636363635,1.9670392577151938,NR,-1,North_Carolina
74,75,Western Kentucky (8-5),82.79526256530181,61.53846153846154,57.01111111111111,120.0,77.0,72.0,-1.4166666666666667,-4.716958551306568,NR,-12,Western_Kentucky
75,76,Old Dominion (5-7),82.21792250667148,41.66666666666667,46.388888888888886,69.0,55.0,79.0,0.0,-0.37622226125977587,NR,0,Old_Dominion
76,77,Toledo (7-5),81.67929991506826,58.333333333333336,52.69090909090909,112.0,82.0,32.0,2.272727272727273,-4.131025060856899,NR,0,Toledo
77,78,Cincinnati (5-7),81.42431622511761,41.66666666666667,33.68484848484849,24.0,86.0,60.0,-1.0,5.567133123511212,NR,1,Cincinnati
78,79,East Carolina (7-5),81.2943091512244,58.333333333333336,57.63636363636363,124.0,32.0,94.0,1.5454545454545454,-6.699063804641709,NR,-1,East_Carolina
79,80,Utah (5-7),80.53160600006461,41.66666666666667,34.0969696969697,35.0,109.0,34.0,-1.2727272727272727,4.078447752989768,NR,1,Utah
80,81,San José State (7-5),80.3482759102059,58.333333333333336,53.515151515151516,104.0,71.0,73.0,-0.45454545454545453,-6.058525536234599,NR,-1,San_José_State
81,82,Wisconsin (5-7),79.02080923740276,41.66666666666667,33.68484848484849,13.0,101.0,48.0,-1.8181818181818181,3.7248518836292166,NR,3,Wisconsin
82,83,South Florida (6-6),78.6433579043069,50.0,48.75151515151515,100.0,42.0,101.0,-1.4545454545454546,-5.883662324689837,NR,-1,South_Florida
83,84,Fresno State (6-6),78.60218908537445,50.0,46.690909090909095,106.0,80.0,52.0,0.7272727272727273,-4.911814769853732,NR,-1,Fresno_State
84,85,UTSA (6-6),78.31188289314694,50.0,49.987878787878785,116.0,35.0,113.0,-2.4545454545454546,-6.865306634127727,NR,-1,UTSA
85,86,Arkansas State (7-5),76.45740176867223,58.333333333333336,55.987878787878785,105.0,86.0,108.0,-8.363636363636363,-11.611445406322114,NR,1,Arkansas_State
